ID,Matches played,Name,Highlander games,6's games,Defaults,Country
9924,154,Flippy,25,96,3,France
107064,154,Shaggy,61,73,2,Belgium
17660,154,Beater,22,102,2,Denmark
89537,153,Spanns,43,77,1,Portugal
90327,153,Collaide,3,116,2,Sweden
10965,153,Shampoo,23,92,1,Romania
59084,152,Horppi,53,86,0,Finland
849,152,SnowiE,1,97,0,England
59942,152,skyro,39,88,1,Netherlands
15596,152,Tek,23,99,1,France
24401,152,mici,12,106,2,Hungary
3982,152,FlagZero,11,74,0,Croatia
96203,152,Turboapina,28,89,2,Finland
60043,152,mak,34,103,2,England
93427,152,fundo,51,63,1,Finland
24035,152,kalhó,10,82,3,Portugal
101380,152,Acecle,37,95,2,UnitedKingdom
77792,151,juju,81,51,2,Finland
59397,151,Bonkers,16,82,0,Poland
63718,151,Grenja,72,48,1,UnitedKingdom
9555,151,ryder,6,120,1,Iceland
30301,151,EmilioEstevez,107,11,1,UnitedKingdom
59560,151,junnu,18,113,1,Finland
65160,150,marisa,51,61,1,Ukraine
2633,150,mèx,24,80,0,Italy
21478,150,TviQ,25,59,0,Sweden
88924,150,Jynxii,26,108,3,England
77,150,Haunter,30,87,0,Portugal
110060,150,Yxxo,50,70,0,Norway
101131,149,lor_is,23,116,0,UnitedKingdom
22673,149,dmoule,14,121,1,France
40957,149,Caoul!,16,114,1,Sweden
30730,149,Maxi,39,91,1,England
4326,149,Nikola,9,98,0,Bulgaria
47228,149,Punkka,29,103,6,Finland
92157,149,zeFrosty,12,120,0,Scotland
75941,149,calle cool,41,93,2,Sweden
89833,149,SandBurn,90,28,1,Netherlands
62952,149,Celreo,61,83,2,England
115603,149,DigyB,36,82,0,Ireland
16820,148,frixx,10,113,0,Slovenia
124309,148,Breez,22,88,4,CzechRepublic
63544,148,thaZu,28,80,2,Poland
109413,148,Moxxie,8,126,1,Belgium
2266,148,sammie,0,125,0,Russia
116732,148,T1k.,49,71,1,Lithuania
42104,147,cmd,16,100,0,Iceland
32012,147,shappie,9,114,2,Lithuania
125126,147,SirDuck,49,83,2,England
62492,147,CHICHO,33,79,6,Spain
19565,147,Forsak3n,10,87,0,Russia
76228,147,sintyre,67,52,1,Denmark
3977,146,qnx,9,89,0,Norway
18990,146,Shyyou,3,96,0,Belarus
82111,146,tXX,17,108,2,Portugal
10125,146,.Constantine,29,100,2,Germany
63124,146,Manky,15,110,0,Croatia
90251,146,Honey Badger,16,107,1,UnitedKingdom
11427,146,slate,16,99,1,Germany
91053,146,miknando,59,55,3,Finland
103899,145,YeeHaw,5,122,1,England
11387,145,Drozdzers,2,129,0,Poland
55039,145,plsno,25,73,1,Italy
9003,145,DRookie,18,66,0,Croatia
116844,145,Xeno,46,90,4,Slovakia
42028,144,anti2,63,55,1,Russia
90051,144,Eemes,16,114,3,England
42798,144,Death,31,87,0,Ukraine
103319,144,Biohazard,49,80,4,Portugal
112414,144,scar,45,81,0,France
92844,144,TeaKay,59,68,0,England
49307,144,Kissakala,44,81,0,Finland
65230,144,tonmas,20,111,1,Finland
24032,143,Oxy,43,51,0,England
123327,143,therealslimswayze,52,80,3,England
77824,143,daddy,81,33,1,Norway
96226,143,scrambled,59,44,1,Scotland
74939,143,Sjukel,67,67,0,Finland
102665,143,.strix,35,88,1,Italy
61057,143,NuTRiCuLa,67,44,8,Georgia
8270,143,Bukhar,6,128,1,Germany
67384,143,jimb0t,17,108,1,UnitedKingdom
58332,143,iZon,32,95,0,Sweden
5852,142,Spary,15,103,0,Israel
20428,142,Homer J.,18,77,0,Germany
49588,142,Dennia,28,89,0,Sweden
106732,142,bum,15,114,2,England
67473,142,MS,79,34,0,England
511,142,Abomination,35,89,1,UnitedKingdom
21944,142,TheMasterOfDisaster,93,38,0,Netherlands
29009,141,Buhenvalds,20,88,4,Latvia
105130,141,Pred,17,100,3,Croatia
42226,141,Blitzo,5,125,2,France
123858,141,Godz Ares,44,78,1,Italy
17889,141,spudd,23,107,0,England
93473,141,CazaroC,63,59,0,Luxembourg
91017,141,RAMA,15,105,2,Russia
91117,141,croix,22,91,3,Italy
110974,141,COLLINE,30,101,1,Portugal
89834,141,cherryrendezvous,68,46,2,UnitedKingdom
104207,140,tiia,24,96,1,Germany
20688,140,SmAsH,9,127,0,UnitedKingdom
6382,140,L-iNC,37,95,1,Finland
120310,140,zetsu,37,67,0,Hungary
64621,140,kitty,29,94,1,Finland
1156,140,Thy*,19,53,1,Germany
101090,140,streep36,11,109,1,Netherlands
119645,140,seeds,14,115,0,European
115945,140,Klin,47,75,0,England
12113,140,helberg,3,97,0,Denmark
113475,140,Jordy,20,102,0,Netherlands
127075,139,qbown,44,78,0,Germany
809,139,Rasta,0,124,0,Austria
62484,139,Synrise,93,21,0,Belgium
91759,139,bluR-,64,55,4,Spain
75687,139,ekkelund,29,101,3,Finland
60746,138,Glastry,9,122,1,France
50507,138,DizAmbiguation,94,36,0,Germany
109664,138,oJ,14,109,1,England
116261,138,Charlie,7,118,0,UnitedKingdom
78356,138,jun0,8,114,0,UnitedKingdom
57774,138,HBFS,61,65,0,BosniaHerzegovina
3362,137,hocz,0,90,0,Finland
111086,137,Wild_Piggie,37,72,0,Portugal
103449,137,Dom,63,48,1,Netherlands
127645,137,Storm,41,86,0,Norway
89110,136,roban,44,65,2,Finland
8068,136,Tenshi,3,123,0,Germany
14905,136,SteveyJJ,4,116,0,England
10793,136,SniegZ,14,92,2,Lithuania
62812,136,iikq,11,112,1,Finland
47118,136,Kylähullu,30,71,0,Finland
9454,136,T-Mac,18,80,1,France
5149,136,koko,17,84,0,Germany
82675,136,fluo,18,82,2,Italy
118289,136,varnu,19,94,1,Estonia
63840,136,fishyard,3,118,1,Norway
9981,135,SpacePig,14,64,0,Croatia
113232,135,Lurkki,31,78,2,Finland
18414,135,vani,15,105,0,Sweden
26355,135,san alex,49,47,0,Portugal
93511,135,Dragonce,46,60,0,Finland
106097,135,yorski,29,101,0,Finland
23881,135,Opti,2,109,0,France
64312,135,TSM,63,41,1,Netherlands
7732,134,Galant,13,92,2,Russia
63623,134,PIPSQUEAK,27,83,0,Sweden
115616,134,static,21,97,1,UnitedKingdom
120460,134,dwo69,42,78,0,France
115570,134,papi,6,117,0,England
62141,134,ShaDowBurn,35,70,0,Russia
95215,134,Sennaj_Legend,43,81,0,Germany
121216,132,Assassin+,57,70,0,Spain
58873,132,Munky,48,69,1,UnitedKingdom
103920,132,Mason,47,50,0,Japan
