ID,Matches played,Name,Highlander games,6's games,Points,Defaults,Country,Joined
104207,140,tiia,26,126,576,1,Germany,3617
20688,140,SmAsH,9,160,467,0,UnitedKingdom,5212
6382,140,L-iNC,37,95,458,1,Finland,5659
809,139,Rasta,0,124,408,0,Austria,5942
91759,139,bluR-,67,60,436,4,Spain,3907
127075,139,qBowN∼,49,112,622,2,Germany,2673
62484,139,Synrise,93,21,483,0,Belgium,4431
75687,139,ekkelund,29,110,430,3,Finland,4157
78356,138,jun0,8,121,443,0,UnitedKingdom,4137
57774,138,HBFS,62,65,337,0,BosniaHerzegovina,4555
116261,138,Charlie,7,127,437,0,UnitedKingdom,3248
50507,138,DizAmbiguation,94,36,412,0,Germany,4655
109664,138,oJ,14,109,499,1,England,3475
60746,138,Glastry,9,122,447,1,France,4500
127645,137,Storm,65,122,584,0,Norway,2665
111086,137,wildpiggie,40,117,572,1,Portugal,3436
3362,137,hocz,0,90,429,0,Finland,5810
103449,137,Dom,63,48,481,1,Netherlands,3642
118289,136,varnu,39,133,571,2,Estonia,3139
10793,136,SniegZ,14,92,408,2,Lithuania,5478
14905,136,SteveyJJ,4,116,434,0,England,5367
47118,136,Kylähullu,30,71,350,0,Finland,4703
82675,136,fluo,22,93,525,2,Italy,4105
5149,136,koko,17,84,378,0,Germany,5718
9454,136,T-Mac,18,80,478,1,France,5535
63840,136,fishyard,3,147,524,1,Norway,4355
62812,136,iikq,11,112,424,1,Finland,4413
8068,136,Tenshi,3,123,356,0,Germany,5587
89110,136,roban,44,65,334,2,Finland,4047
18414,135,vani,15,135,590,0,Sweden,5274
93511,135,Dragonce,46,71,395,0,Finland,3816
23881,135,Opti,2,116,515,0,France,5131
9981,135,SpacePig,14,64,336,0,Croatia,5512
26355,135,san alex,49,47,330,0,Portugal,5090
64312,135,TSM,67,60,436,5,Netherlands,4343
106097,135,yorski,29,112,438,0,Finland,3540
113232,135,Lurkki,31,78,392,2,Finland,3363
95215,134,Sennaj_Legend,43,81,340,0,Germany,3737
120460,134,dwo69,42,97,492,1,France,3042
115616,134,static,21,97,394,1,UnitedKingdom,3274
63623,134,PIPSQUEAK,27,89,481,0,Sweden,4367
7732,134,Galant,13,92,403,2,Russia,5603
62141,134,ShaDowBurn,35,70,468,0,Russia,4451
115570,134,papi,6,155,758,0,England,3276
89277,132,TheNewbie,16,79,248,1,Estonia,4038
22900,132,Ceymoure,3,115,407,0,Denmark,5169
113486,132,None_,47,137,468,5,Finland,3359
113262,132,slowtown,18,88,409,2,Ukraine,3363
116480,132,PJC,9,125,427,1,England,3237
63676,132,Hot,39,79,358,0,France,4364
28613,132,Selek,55,49,440,0,Germany,5089
103920,132,Mason,47,50,338,0,Japan,3627
58873,132,Munky,48,75,470,1,UnitedKingdom,4524
121216,132,Assassin+,87,103,532,0,Spain,2995
120821,131,Offside,21,105,418,4,England,3025
43547,131,Mars,0,158,423,0,CzechRepublic,4838
125565,131,CAR DOOR,89,96,691,0,Germany,2775
95749,131,hemp,11,105,425,0,Norway,3727
21095,131,Azunis,18,112,372,0,France,5208
59587,131,Irppa,12,119,480,0,Finland,4517
29224,131,Strno,96,0,376,1,Slovakia,5088
50851,131,s0rex,14,89,412,1,Israel,4653
92098,130,milkyeu,6,108,452,0,CzechRepublic,3887
762,130,TonyGappa,8,97,272,1,Netherlands,5946
20005,130,sano,1,96,337,0,Russia,5228
101156,129,Warped,15,154,538,3,UnitedKingdom,3680
95814,129,Woona,82,59,385,3,Spain,3726
104385,129,I stole your bees.,68,32,420,0,Scotland,3611
73083,129,Medico,3,120,496,0,France,4193
121342,129,Cyanic,50,100,422,1,UnitedKingdom,2987
98988,129,Eli,27,99,376,1,England,3690
6429,129,huhystah,27,67,347,0,Lithuania,5658
31450,129,hp,9,102,417,1,Sweden,5086
124136,129,Chez,27,102,331,1,Estonia,2903
90928,129,S@GA,50,34,471,5,Germany,3949
130453,129,Whip,50,129,494,1,Scotland,2424
1711,128,Vasa_kot,29,62,312,1,Russia,5873
5313,128,cookye,12,105,504,0,Finland,5704
12499,128,prpht,66,53,412,0,Germany,5435
3394,128,Gompy,6,79,325,0,Norway,5809
14957,128,Entire,11,81,301,0,Lithuania,5366
104006,128,Samus,35,99,389,2,Germany,3624
90404,128,Dejvi,60,105,524,2,Italy,3977
56531,128,hr,1,98,381,0,England,4575
95873,128,HEMSTRAND,21,105,441,2,Finland,3725
